Correction_Strength,Real_Distance,Predicted_Distance,Percent_Error
0.5,85,79.9228,-0.0597
0.55,85,79.9228,-0.0597
0.6,85,79.3127,-0.0669
0.65,85,79.3127,-0.0669
0.7,85,79.9228,-0.0597
0.75,85,79.9228,-0.0597
0.8,85,79.3127,-0.0669
0.85,85,79.3127,-0.0669
0.9,85,79.3127,-0.0669
0.95,85,79.3127,-0.0669
1,85,79.9228,-0.0597
1.05,85,79.3127,-0.0669
1.1,85,78.7118,-0.0740
1.15,85,79.3127,-0.0669
1.2,85,78.7118,-0.0740
1.25,85,78.7118,-0.0740
1.3,85,78.7118,-0.0740
1.35,85,78.7118,-0.0740
1.4,85,78.12,-0.0809
1.45,85,78.12,-0.0809
1.5,85,78.7118,-0.0740
1.55,85,78.7118,-0.0740
1.6,85,77.5371,-0.0878
1.65,85,77.5371,-0.0878
1.7,85,77.5371,-0.0878
1.75,85,76.9627,-0.0946
1.8,85,76.3968,-0.1012
1.85,85,76.3968,-0.1012
1.9,85,76.3968,-0.1012
1.95,85,75.8391,-0.1078
2,85,76.3968,-0.1012
0.5,73,68.8077,-0.0574
0.55,73,68.8077,-0.0574
0.6,73,68.8077,-0.0574
0.65,73,68.8077,-0.0574
0.7,73,68.355,-0.0636
0.75,73,68.8077,-0.0574
0.8,73,69.2664,-0.0511
0.85,73,68.8077,-0.0574
0.9,73,68.355,-0.0636
0.95,73,68.355,-0.0636
1,73,68.355,-0.0636
1.05,73,67.9083,-0.0697
1.1,73,67.4673,-0.0758
1.15,73,67.4673,-0.0758
1.2,73,67.4673,-0.0758
1.25,73,66.6023,-0.0876
1.3,73,66.1781,-0.0935
1.35,73,67.032,-0.0818
1.4,73,66.1781,-0.0935
1.45,73,66.1781,-0.0935
1.5,73,65.3457,-0.1049
1.55,73,64.9373,-0.1104
1.6,73,65.3457,-0.1049
1.65,73,64.5339,-0.1160
1.7,73,64.5339,-0.1160
1.75,73,63.3534,-0.1321
1.8,73,64.1356,-0.1214
1.85,73,63.3534,-0.1321
1.9,73,62.9695,-0.1374
1.95,73,62.9695,-0.1374
2,73,61.845,-0.1528
0.5,58,56.162,-0.0317
0.55,58,55.86,-0.0369
0.6,58,55.86,-0.0369
0.65,58,55.5613,-0.0420
0.7,58,55.5613,-0.0420
0.75,58,55.2658,-0.0471
0.8,58,55.2658,-0.0471
0.85,58,54.9733,-0.0522
0.9,58,54.9733,-0.0522
0.95,58,54.684,-0.0572
1,58,54.3977,-0.0621
1.05,58,54.3977,-0.0621
1.1,58,54.1144,-0.0670
1.15,58,53.5565,-0.0766
1.2,58,53.2819,-0.0813
1.25,58,53.01,-0.0860
1.3,58,52.7409,-0.0907
1.35,58,52.4746,-0.0953
1.4,58,52.2109,-0.0998
1.45,58,51.9498,-0.1043
1.5,58,51.6914,-0.1088
1.55,58,51.4355,-0.1132
1.6,58,50.9312,-0.1219
1.65,58,50.6828,-0.1262
1.7,58,50.4367,-0.1304
1.75,58,50.4367,-0.1304
1.8,58,50.4367,-0.1304
1.85,58,50.4367,-0.1304
1.9,58,50.4367,-0.1304
1.95,58,50.4367,-0.1304
2,58,50.1931,-0.1346
0.5,43,42.9337,-0.0015
0.55,43,42.5818,-0.0097
0.6,43,42.5818,-0.0097
0.65,43,42.408,-0.0138
0.7,43,42.2356,-0.0178
0.75,43,42.2356,-0.0178
0.8,43,42.408,-0.0138
0.85,43,41.895,-0.0257
0.9,43,42.0646,-0.0218
0.95,43,41.7268,-0.0296
1,43,41.3943,-0.0373
1.05,43,41.067,-0.0450
1.1,43,41.067,-0.0450
1.15,43,40.9054,-0.0487
1.2,43,40.7449,-0.0524
1.25,43,40.4279,-0.0598
1.3,43,40.4279,-0.0598
1.35,43,40.2712,-0.0635
1.4,43,39.9614,-0.0707
1.45,43,39.6564,-0.0778
1.5,43,39.3559,-0.0847
1.55,43,38.7685,-0.0984
1.6,43,38.4813,-0.1051
1.65,43,38.3393,-0.1084
1.7,43,37.7817,-0.1214
1.75,43,37.5089,-0.1277
1.8,43,37.374,-0.1308
1.85,43,37.107,-0.1370
1.9,43,36.5844,-0.1492
1.95,43,36.3285,-0.1552
2,43,35.8275,-0.1668
