Correction_Strength,Real_Distance,Predicted_Distance,Percent_Error
1,165,144.305,-0.1254
1.05,165,142.328,-0.1374
1.1,165,144.305,-0.1254
1.15,165,144.305,-0.1254
1.2,165,142.328,-0.1374
1.25,165,142.328,-0.1374
1.3,165,144.305,-0.1254
1.35,165,144.305,-0.1254
1.4,165,144.305,-0.1254
1.45,165,144.305,-0.1254
1.5,165,144.305,-0.1254
1.55,165,144.305,-0.1254
1.6,165,142.328,-0.1374
1.65,165,144.305,-0.1254
1.7,165,144.305,-0.1254
1.75,165,140.405,-0.1491
1.8,165,142.328,-0.1374
1.85,165,142.328,-0.1374
1.9,165,142.328,-0.1374
1.95,165,142.328,-0.1374
2,165,142.328,-0.1374
1,150,128.271,-0.1449
1.05,150,129.875,-0.1342
1.1,150,131.518,-0.1232
1.15,150,126.707,-0.1553
1.2,150,128.271,-0.1449
1.25,150,126.707,-0.1553
1.3,150,128.271,-0.1449
1.35,150,128.271,-0.1449
1.4,150,123.69,-0.1754
1.45,150,126.707,-0.1553
1.5,150,122.235,-0.1851
1.55,150,122.235,-0.1851
1.6,150,123.69,-0.1754
1.65,150,120.814,-0.1946
1.7,150,119.425,-0.2038
1.75,150,120.814,-0.1946
1.8,150,119.425,-0.2038
1.85,150,119.425,-0.2038
1.9,150,116.741,-0.2217
1.95,150,115.444,-0.2304
2,150,118.068,-0.2129
1,135,119.425,-0.1154
1.05,135,119.425,-0.1154
1.1,135,118.068,-0.1254
1.15,135,118.068,-0.1254
1.2,135,118.068,-0.1254
1.25,135,116.741,-0.1353
1.3,135,116.741,-0.1353
1.35,135,115.444,-0.1449
1.4,135,115.444,-0.1449
1.45,135,114.175,-0.1543
1.5,135,114.175,-0.1543
1.55,135,112.934,-0.1635
1.6,135,112.934,-0.1635
1.65,135,111.72,-0.1724
1.7,135,111.72,-0.1724
1.75,135,110.532,-0.1812
1.8,135,109.368,-0.1899
1.85,135,109.368,-0.1899
1.9,135,107.113,-0.2066
1.95,135,107.113,-0.2066
2,135,106.02,-0.2147
1,120,109.368,-0.0886
1.05,120,109.368,-0.0886
1.1,120,108.229,-0.0981
1.15,120,108.229,-0.0981
1.2,120,108.229,-0.0981
1.25,120,108.229,-0.0981
1.3,120,108.229,-0.0981
1.35,120,108.229,-0.0981
1.4,120,108.229,-0.0981
1.45,120,108.229,-0.0981
1.5,120,108.229,-0.0981
1.55,120,108.229,-0.0981
1.6,120,108.229,-0.0981
1.65,120,108.229,-0.0981
1.7,120,108.229,-0.0981
1.75,120,108.229,-0.0981
1.8,120,108.229,-0.0981
1.85,120,108.229,-0.0981
1.9,120,107.113,-0.1074
1.95,120,107.113,-0.1074
2,120,107.113,-0.1074
1,105,96.2033,-0.0838
1.05,105,95.3208,-0.0922
1.1,105,95.3208,-0.0922
1.15,105,95.3208,-0.0922
1.2,105,95.3208,-0.0922
1.25,105,95.3208,-0.0922
1.3,105,95.3208,-0.0922
1.35,105,94.4542,-0.1004
1.4,105,94.4542,-0.1004
1.45,105,94.4542,-0.1004
1.5,105,94.4542,-0.1004
1.55,105,94.4542,-0.1004
1.6,105,94.4542,-0.1004
1.65,105,93.6033,-0.1085
1.7,105,93.6033,-0.1085
1.75,105,93.6033,-0.1085
1.8,105,92.7675,-0.1165
1.85,105,92.7675,-0.1165
1.9,105,92.7675,-0.1165
1.95,105,91.9466,-0.1243
2,105,91.9466,-0.1243
1,90,82.46,-0.0838
1.05,90,81.1716,-0.0981
1.1,90,81.8107,-0.0910
1.15,90,81.1716,-0.0981
1.2,90,80.5423,-0.1051
1.25,90,80.5423,-0.1051
1.3,90,79.3127,-0.1187
1.35,90,79.3127,-0.1187
1.4,90,78.7118,-0.1254
1.45,90,78.12,-0.1320
1.5,90,77.5371,-0.1385
1.55,90,76.9627,-0.1449
1.6,90,76.9627,-0.1449
1.65,90,76.3968,-0.1511
1.7,90,75.2896,-0.1634
1.75,90,74.748,-0.1695
1.8,90,73.6877,-0.1812
1.85,90,73.6877,-0.1812
1.9,90,72.6571,-0.1927
1.95,90,72.1525,-0.1983
2,90,71.1641,-0.2093
1,75,71.1641,-0.0511
1.05,75,71.1641,-0.0511
1.1,75,70.68,-0.0576
1.15,75,70.68,-0.0576
1.2,75,70.68,-0.0576
1.25,75,70.2025,-0.0640
1.3,75,70.2025,-0.0640
1.35,75,69.7313,-0.0702
1.4,75,69.7313,-0.0702
1.45,75,69.7313,-0.0702
1.5,75,69.2664,-0.0764
1.55,75,69.2664,-0.0764
1.6,75,68.8077,-0.0826
1.65,75,68.8077,-0.0826
1.7,75,68.355,-0.0886
1.75,75,67.9083,-0.0946
1.8,75,67.9083,-0.0946
1.85,75,67.4673,-0.1004
1.9,75,67.032,-0.1062
1.95,75,67.032,-0.1062
2,75,66.6023,-0.1120
1,60,57.722,-0.0380
1.05,60,57.722,-0.0380
1.1,60,57.722,-0.0380
1.15,60,57.4031,-0.0433
1.2,60,57.0877,-0.0485
1.25,60,57.4031,-0.0433
1.3,60,57.0877,-0.0485
1.35,60,56.4672,-0.0589
1.4,60,56.7758,-0.0537
1.45,60,56.4672,-0.0589
1.5,60,55.86,-0.0690
1.55,60,55.86,-0.0690
1.6,60,55.5613,-0.0740
1.65,60,55.5613,-0.0740
1.7,60,54.9733,-0.0838
1.75,60,54.9733,-0.0838
1.8,60,54.684,-0.0886
1.85,60,54.1144,-0.0981
1.9,60,53.834,-0.1028
1.95,60,53.5565,-0.1074
2,60,53.2819,-0.1120
